, name, guiname, plural, desc
#, Sozialist, Sozialist, Sozialist, "Sozialisten glauben an eine Umverteilung des Reichtums von den Reichen auf die Armen, um der Ungleichheit entgegenzuwirken, die auf dem freien Markt entstehen kann. Ein großer Staat, der durch Steuern bezahlt wird, bietet wesentliche Dienstleistungen wie Gesundheitsversorgung, Bildung, Wohnen und öffentliche Verkehrsmittel für alle. Grundsätzlich glauben die Sozialisten an die Maxime für jeden nach seinen Bedürfnissen, von jedem nach seinen Mitteln."
#, Kapitalist, Kapitalist, Kapitalist, "Kapitalisten glauben an die 'unsichtbare Hand' des freien Marktes als die effizienteste und fairste Art, Ressourcen zu verteilen. Das Grundprinzip ist, dass die Menschen berechtigt sind, von ihrer eigenen Arbeit zu profitieren, und dass der Staat privaten Unternehmen aus dem Weg gehen sollte. Staatliche Eingriffe wie die staatliche Gesundheitsversorgung werden als Marktverzerrung angesehen, die den Erlös der Fleißigen effektiv aufnimmt und an die weniger Verdienten weitergibt. "
#, Rentner, Rentner, Rentner, "Rentner und ältere Menschen, die möglicherweise noch arbeiten, sind eine mächtige politische Kraft. Die Wahlbeteiligung ist tendenziell höher und sie haben Zeit, sich für politische Kampagnen zu engagieren. Natürlich sind sie mehr sind besorgt über die Ergebnisse der Gesundheitsversorgung als der Durchschnittsbürger und reagieren auch empfindlich auf Änderungen in der Altersvorsorge, da dies in vielen Fällen ihre einzige Einnahmequelle ist. "
#, Pendler, Pendler, Pendler, "Unter Pendlern versteht man jeden, der in einiger Entfernung zur Arbeit fährt, sei es mit dem Auto, dem Zug, dem Bus, der Einschienenbahn oder der Straßenbahn. Für Pendler sind Transportkosten und Verkehrsstaus wichtige politische Themen. Pendler, die viel Geld ausgeben von ihrer Zeit im Verkehr gesessen haben oder aufgrund von Streiks nicht zur Arbeit kommen können, haben genügend Zeit, um ihre Gefühle den Politikern bekannt zu machen. "
#, Patriot, Patriot, Patrioten, "Patriotismus wird zur Wahlzeit oft zynisch als politischer Fußball eingesetzt, aber für einige Wähler ist ihr Patriotismus ein zentraler Bestandteil ihrer nationalen Identität. Patrioten sind starke Befürworter einer bestimmten nationalen Identität, eines starken Militärs Verteidigung für das Land und starke Grenzen. "
#, Autofahrer, Autofahrer, Autofahrer:, "Das Ausmaß, in dem sich ein Wähler als Autofahrer betrachtet, kann variieren, von eingefleischten Autoenthusiasten bis hin zum gelegentlichen Benutzer eines kleinen Stadtautos. Jeder, der fährt, ist jedoch in irgendeiner Weise betroffen durch Fahrzeugsteuern, Straßenbenutzungsgebühren, Kraftstoffsteuern, Verkehrsstaus und etwaige Anreize oder Subventionen in Bezug auf Kraftstoffarten. Infolgedessen können Autofahrer zur Wahlzeit eine wichtige Gruppe sein. "
#, Liberal, Liberal, Liberale, "Eine komplexe Gruppe, die definiert werden muss. In einigen Ländern wird Liberalismus mit Sozialismus verwechselt, aber wahrer Liberalismus ist ein Glaube an persönliche Freiheit und Freiheit, der eine Reihe anderer Wählergruppen überlappt. Liberale sind stark gegen den Staat Überwachung und zugunsten des Grundsatzes, dass die individuelle Wahl zu respektieren ist, in Fragen, die von Sexualität über Waffenbesitz bis hin zum Freizeitdrogenkonsum reichen. "
#, Religiöse, religiöse, religiöse Menschen, "Religiöse Meinungen und Gefühlsstärke sind offensichtlich sehr unterschiedlich, aber im Allgemeinen vertreten religiöse Wähler eine positive Meinung zu Glaubensschulen und Religionsunterricht und werden Gesetze unterstützen, die heilige Tage heilig halten oder die Kirche schützen von Blasphemie. In der Regel haben religiöse Wähler eine negative Sicht auf Abtreibung und Stammzellenforschung. Im Allgemeinen sind religiöse Ansichten in weniger entwickelten Ländern populärer. "
#, Gewerkschafter, Gewerkschafter, Gewerkschafter, "Gewerkschaftsmitglieder sind stark besorgt über die Rechte der Arbeitnehmer in großen Organisationen und kämpfen für höhere Löhne, kürzere Arbeitszeiten und mehr Rechte bei der Arbeit. Die Mitgliedschaft in einer Gewerkschaft kann zu mehr Unterstützung führen für Arbeitskampfmaßnahmen (Streiks). Niedrige Löhne, hohe Arbeitslosigkeit und mangelnde Wohlfahrt können dazu beitragen, die Arbeitnehmer zum Beitritt zu Gewerkschaften zu ermutigen. "
#, Selbstständige, Selbstständige, Selbstständige, "Zu den Selbstständigen gehören auch Personen, die kleine Unternehmen wie Klempner und Elektriker führen. Unternehmer und Kleinunternehmer sind gegen zu viele staatliche Vorschriften und Arbeitnehmerrechte, da sie mit bürokratischen Kosten verbunden sind Sie spüren auch die Auswirkungen von Steuern auf Verkäufe oder Kapitalgewinne, die sich aus dem Besitz Ihres eigenen Geschäfts ergeben. "
